,0
-21984.8131123,31582.5729736
-23108.476038,32144.9410985
-23766.4372499,32329.9984787
-24215.3740251,32530.6557176
-24476.3348739,32682.7095345
-24698.5913078,32771.4945682
-25316.9939078,32978.0882285
-25907.0833509,33027.2992374
-26043.9493408,32763.7962329
-25991.9074236,32335.0600896
-25850.4566215,31868.8711734
-25715.9820156,31462.7034296
-25590.6304354,32404.1014701
-25577.0163667,32808.6545468
-25525.3706287,32543.5477383
-25690.7115775,32121.5118395
-26309.0426002,32054.135163
-27354.6611991,32227.1476977
-28975.2992847,32708.9495432
-31086.6847086,33249.3157823
-33194.4670212,34071.3085464
-35349.9390055,35605.6114884
-37644.6534769,37642.0694544
-40011.4695232,39774.1533713
-42031.5424094,41377.3378369
-43672.2484594,42330.1929492
-44552.688796,42538.8549256
-44571.0614891,42061.81351
-43978.9931247,41189.9703295
-42952.2598205,40196.523294
-41473.6219903,39814.9567766
-39965.5331807,39563.0645565
-38167.2214228,39171.7198833
-35902.0784382,38870.5723397
-33075.468256,38823.3093977
-30023.2559905,38880.7566421
-26972.1077504,38763.7965306
-23989.1009921,38233.0588872
-21256.95234,37462.4839291
-19160.3257527,36697.0869019
-17570.2844902,36219.9011033
-16255.781951,35946.8992356
-15372.6817835,35465.5352002
-14931.0897589,35012.7309229
-14720.0741054,34571.3802322
-14833.6629195,34369.4068223
-15479.0119761,34362.3264344
-16525.9310651,34520.0703653
-17701.2026052,34645.968104
-18665.5482311,34587.5713682
-19393.550224,34285.4867566
-19882.6963788,33768.8643056
-20001.2651352,32915.3574895
-19860.4694378,31923.8633222
-20089.6521967,31242.4091874
-21195.5134464,31143.8620335
-23040.3751743,31636.6269131
-25430.6226142,32366.175465
-28285.9851209,33350.6480458
-31235.242087,34377.717012
-33972.3112659,35260.2519833
-36531.2708921,36083.7581518
-38730.9705742,36897.1346737
-40592.1412202,37665.7758912
-42112.140446,38294.1879328
-43013.326247,38727.1392941
-42874.8959913,38515.8815703
-41753.6154379,37564.3983745
-39988.052984,36249.0056488
-37712.9160529,34993.1621894
-35030.1321218,34237.4307714
-31865.1465504,34335.1069483
-28543.6226562,34429.2948678
-25313.554233,34395.8533506
-22451.4032327,34191.822712
-19963.1636412,33861.9316423
-18000.7153301,33374.5514822
-16600.0537745,32520.3400494
-15578.3930722,31552.9577563
-14913.819919,30775.7802606
-14636.3721331,30111.9542459
-14607.2435665,29468.7793869
-14993.2394845,29003.3252007
-15877.5238599,28968.9862857
-16620.0876709,30211.9063992
-17680.2980056,30888.5816332
-19113.6099362,31342.5981778
-21003.1033121,31815.3322169
-23167.2870127,32501.7191834
-25577.1517769,33075.2927563
-28035.4729678,33630.5769487
-30300.9292283,34258.2533394
-32264.7754937,34803.2809704
-34117.7073148,35180.0430448
-35960.2520958,35412.1183205
-37683.1837289,35672.4751157
-39554.2369379,36285.5958873
-41390.0927244,36897.1705031
-42974.1608131,37333.9047522
-44276.5465088,37386.6858631
-45158.3571152,37346.0424453
-45979.9301715,37576.0396239
-46740.098777,37851.5502175
-46979.1238636,37854.4138372
-46446.8377229,37440.041855
-45469.4289961,36952.7981288
-43896.9081759,36070.7114596
-41693.3798698,35018.3694328
-38525.9204259,34493.6766078
-34777.9387705,34499.3573647
-30569.5274858,35085.8764174
-25978.7953914,36153.9534991
-20943.3768411,37183.0934463
-16272.0003151,37944.8101747
-12054.8701847,38760.1462977
-8407.22464602,39350.6332383
-5894.19162742,39388.1155244
-4391.79861487,39151.3064655
-4021.40142668,38960.3417649
-4506.64982751,39235.0035611
-5479.86206661,39409.0988796
-7045.78263162,39485.5489314
-9353.86244886,39742.2970577
-12463.017014,40725.7163111
-15795.6867414,42013.8918485
-18983.0021562,43089.4691012
-22230.187455,43950.5051386
-25253.1889246,44634.7168641
-27651.1064221,45160.2137073
-29025.2771129,45817.095995
-29832.4094743,45692.1406761
-30051.7577475,45001.5394051
-29696.3354448,43886.3274654
-28845.0919329,42714.4834374
-28132.7895424,41699.7551146
-27866.2854529,41178.3672684
-27589.8406425,40900.692946
-27035.5722029,40433.33136
-26399.7301821,39742.1874118
-25928.4844494,39050.9145533
-25591.2734985,38363.4679926
-25625.2572311,37849.9775736
-26313.0781416,37537.0222783
-27385.0884221,37387.8054662
-28147.6766129,37249.2580739
-28723.4930813,37307.5979182
-29218.2917265,37652.0033142
-29192.477239,38604.8519458
-28631.6957607,39265.8987885
-28136.9843441,39993.7718504
-27711.2987609,40658.2463877
-27106.649203,40856.1175665
-26397.5188144,40290.1157225
-25877.8645427,39520.3641881
-25461.0544072,38590.4953643
-24736.9925532,37530.2257871
-23814.3109764,36276.5741663
-22826.6860915,34852.5536486
-21836.6329893,33371.035109
-20911.882414,31938.7000357
-19879.2052775,30647.1983893
-18926.7948971,29561.8762186
-18067.0493737,28445.7612229
-17231.2909605,27290.0961113
-16623.1928614,26328.9558063
-16723.1717823,25858.6434528
-17724.1428576,26173.4838056
-19449.3741641,27065.7049003
-21510.3534155,28362.2676497
-23710.4682819,29870.6448944
-25542.2133262,31119.3035197
-26777.8005328,31919.3188091
-27679.9403954,32354.9367475
-28291.5996526,32525.7063663
-28492.2592059,32427.4976566
-28360.7304926,32189.9743061
-28196.8605373,31924.6930214
-27771.2639478,31215.0197134
-27040.2694127,30189.8870253
-26267.6204507,29172.1333784
-25569.7044129,29806.1134243
-24672.4923217,30182.8765473
-23512.3496744,30056.1627348
-22332.6780645,29827.7470288
-21187.2032919,29094.0146624
-20007.819607,28117.8162072
-18757.4020741,27595.8025289
-17905.899247,27185.6054436
-17192.0002521,26944.1108072
-16827.616733,26828.2966636
-16754.5476764,26861.2848614
-16891.5803743,27081.782131
-17115.0609574,27396.4677677
-17470.2951375,27799.816314
-17992.9651228,28044.835055
-18598.7731978,28247.4486223
-19342.0462421,28521.5494845
-20126.8541358,28853.6021672
-20273.9959661,29277.9046818
